year,geo_name,geo,income,income_ranking
2014,Van Buren County,05000US47175,34250,2782
2014,Washington County,05000US29221,34282,2781
2014,"Bronx County, NY",05000US36005,34284,2780
2014,Choctaw County,05000US01023,34325,2779
2014,Henry County,05000US51089,34344,2778
2014,Unicoi County,05000US47171,34346,2777
2014,Marion County,05000US48315,34363,2776
2014,Green County,05000US21087,34368,2775
2014,Foard County,05000US48155,34375,2774
2014,Malheur County,05000US41045,34380,2773
2014,Mississippi County,05000US05093,34424,2772
2014,Reynolds County,05000US29179,34432,2771
2014,Hughes County,05000US40063,34439,2770
2014,Guaynabo Municipio,05000US72061,34450,2768
2014,Bledsoe County,05000US47007,34450,2768
2014,Lemhi County,05000US16059,34457,2767
2014,Murray County,05000US13213,34478,2766
2014,Adair County,05000US21001,34490,2765
2014,Hampton County,05000US45049,34494,2764
2014,Mingo County,05000US54059,34495,2763
2014,Tishomingo County,05000US28141,34499,2762
2014,Cherokee County,05000US37039,34507,2761
2014,Coffee County,05000US13069,34523,2760
2014,Lake County,05000US41037,34535,2759
2014,Scott County,05000US28123,34555,2758
2014,Grainger County,05000US47057,34566,2757
2014,Butler County,05000US21031,34581,2756
2014,Warren County,05000US47177,34592,2755
2014,Lincoln County,05000US13181,34596,2754
2014,Columbus County,05000US37047,34597,2753
2014,Upson County,05000US13293,34614,2752
2014,Wyoming County,05000US54109,34620,2751
2014,Swain County,05000US37173,34632,2750
2014,Brown County,05000US31017,34645,2749
2014,Montgomery County,05000US13209,34653,2748
2014,Northampton County,05000US51131,34656,2747
2014,Coleman County,05000US48083,34692,2746
2014,Bennett County,05000US46007,34697,2745
2014,Torrance County,05000US35057,34720,2744
2014,Adams County,05000US39001,34733,2743
2014,Patrick County,05000US51141,34753,2742
2014,Pocahontas County,05000US54075,34761,2741
2014,Cherokee County,05000US45021,34766,2740
2014,Russell County,05000US51167,34768,2739
2014,Hart County,05000US21099,34771,2738
2014,Putnam County,05000US47141,34780,2737
2014,Duplin County,05000US37061,34787,2736
2014,"St. Louis city, MO",05000US29510,34800,2735
2014,Bullock County,05000US01011,34804,2734
2014,Wheeler County,05000US41069,34808,2733
2014,Dodge County,05000US13091,34812,2732
2014,Charlotte County,05000US51037,34820,2731
2014,Tift County,05000US13277,34830,2730
2014,Cottle County,05000US48101,34833,2729
2014,Caldwell County,05000US37027,34853,2727
2014,Motley County,05000US48345,34853,2727
2014,Washington County,05000US13303,34877,2726
2014,Seminole County,05000US13253,34894,2725
2014,Overton County,05000US47133,34913,2724
2014,Fayette County,05000US54019,34914,2723
2014,Walthall County,05000US28147,34934,2722
2014,"Hidalgo County, TX",05000US48215,34952,2721
2014,Warren County,05000US37185,34953,2720
2014,Adair County,05000US29001,34976,2719
2014,Cherokee County,05000US01019,34983,2718
2014,Calhoun County,05000US05013,35000,2715
2014,Dixie County,05000US12029,35000,2715
2014,Early County,05000US13099,35000,2715
2014,Tippah County,05000US28139,35024,2714
2014,Johnson County,05000US21115,35026,2713
2014,Summers County,05000US54089,35040,2712
2014,Hidalgo County,05000US35023,35048,2711
2014,Catahoula Parish,05000US22025,35093,2709
2014,Halifax County,05000US51083,35093,2709
2014,Union Parish,05000US22111,35115,2708
2014,Ashley County,05000US05003,35136,2707
2014,Elbert County,05000US13105,35170,2706
2014,Colfax County,05000US35007,35189,2705
2014,Copiah County,05000US28029,35199,2704
2014,Union County,05000US45087,35221,2702
2014,Eastland County,05000US48133,35221,2702
2014,Trinity County,05000US48455,35223,2701
2014,Ware County,05000US13299,35247,2700
2014,St. Helena Parish,05000US22091,35262,2699
2014,Clay County,05000US01027,35286,2698
2014,Webster Parish,05000US22119,35292,2697
2014,Culberson County,05000US48109,35302,2696
2014,Alleghany County,05000US37005,35319,2695
2014,Tattnall County,05000US13267,35346,2694
2014,Ontonagon County,05000US26131,35365,2693
2014,Union County,05000US28145,35389,2692
2014,Prowers County,05000US08099,35408,2691
2014,Abbeville County,05000US45001,35409,2690
2014,Pulaski County,05000US13235,35430,2689
2014,Fannin County,05000US13111,35441,2688
2014,Franklin County,05000US01059,35450,2687
2014,Mellette County,05000US46095,35478,2686
2014,Levy County,05000US12075,35483,2685
2014,Okeechobee County,05000US12093,35490,2684
2014,Watauga County,05000US37189,35491,2683
2014,Darlington County,05000US45031,35494,2682
2014,Lincoln County,05000US28085,35502,2681
2014,Bleckley County,05000US13023,35507,2680
2014,Pickett County,05000US47137,35510,2679
2014,Thomas County,05000US13275,35515,2678
2014,Taylor County,05000US21217,35521,2677
2014,La Salle County,05000US48283,35554,2676
2014,Essex County,05000US50009,35567,2675
2014,Whitman County,05000US53075,35578,2674
2014,Okfuskee County,05000US40107,35586,2673
2014,Baxter County,05000US05005,35594,2672
2014,Knox County,05000US29103,35597,2671
2014,Lincoln County,05000US30053,35603,2670
2014,Seminole County,05000US40133,35607,2669
2014,Lincoln County,05000US54043,35623,2668
2014,Gilmer County,05000US54021,35625,2667
2014,Hamilton County,05000US12047,35629,2666
2014,Barbour County,05000US01005,35634,2665
2014,Bulloch County,05000US13031,35642,2664
2014,Mercer County,05000US54055,35678,2663
2014,Frio County,05000US48163,35681,2662
2014,Lenoir County,05000US37107,35687,2661
2014,Iron County,05000US26071,35689,2660
2014,Comanche County,05000US48093,35692,2659
2014,Lafayette County,05000US12067,35720,2658
2014,Sampson County,05000US37163,35731,2657
2014,Laurel County,05000US21125,35746,2656
2014,Haskell County,05000US40061,35764,2655
2014,Texas County,05000US29215,35822,2654
2014,Taos County,05000US35055,35823,2653
2014,Harney County,05000US41025,35828,2652
2014,Crawford County,05000US29055,35829,2651
2014,Weakley County,05000US47183,35845,2650
2014,Ogemaw County,05000US26129,35850,2649
2014,Greene County,05000US47059,35860,2648
2014,Franklin County,05000US13119,35878,2647
2014,Surry County,05000US37171,35894,2646
2014,Talladega County,05000US01121,35896,2645
2014,"Highlands County, FL",05000US12055,35911,2643
2014,Nottoway County,05000US51135,35911,2643
2014,Hitchcock County,05000US31087,35938,2642
2014,Lincoln County,05000US21137,35949,2641
2014,Schoolcraft County,05000US26153,35955,2640
2014,Harrison County,05000US21097,35957,2639
2014,Le Flore County,05000US40079,35970,2637
2014,Meigs County,05000US39105,35970,2637
2014,Franklin County,05000US28037,35995,2636
2014,Lake County,05000US06033,35997,2635
2014,Union County,05000US47173,36009,2634
2014,Lamar County,05000US01075,36021,2633
2014,Forest County,05000US42053,36037,2632
2014,Greenwood County,05000US45047,36045,2631
2014,Pendleton County,05000US54071,36052,2630
2014,Schuyler County,05000US29197,36060,2629
2014,Logan County,05000US05083,36062,2628
2014,Russell County,05000US01113,36066,2627
2014,Clay County,05000US37043,36089,2626
2014,Hardee County,05000US12049,36094,2625
2014,Simpson County,05000US28127,36097,2624
2014,Logan County,05000US21141,36101,2623
2014,DeSoto County,05000US12027,36114,2621
2014,Lewis County,05000US47101,36114,2621
2014,Martin County,05000US37117,36132,2620
2014,Gadsden County,05000US12039,36146,2619
2014,Norton city,05000US51720,36148,2618
2014,Crook County,05000US41013,36158,2617
2014,Lewis County,05000US16061,36159,2616
2014,Butler County,05000US29023,36160,2615
2014,Carroll County,05000US47017,36168,2614
2014,Union County,05000US35059,36176,2613
2014,Independence County,05000US05063,36186,2612
2014,Delaware County,05000US40041,36198,2611
2014,Dade County,05000US29057,36209,2610
2014,Fairfield County,05000US45039,36213,2609
2014,Sevier County,05000US05133,36218,2608
2014,Lawrence County,05000US21127,36225,2607
2014,Holmes County,05000US12059,36236,2606
2014,Nodaway County,05000US29147,36237,2605
2014,Ashe County,05000US37009,36244,2603
2014,Fulton County,05000US05049,36244,2603
2014,Tazewell County,05000US51185,36248,2602
2014,Shelby County,05000US48419,36250,2601
2014,Covington County,05000US01039,36256,2600
2014,Geneva County,05000US01061,36268,2599
2014,McDowell County,05000US37111,36271,2597
2014,Marion County,05000US13197,36271,2597
2014,Cibola County,05000US35006,36279,2596
2014,Crisp County,05000US13081,36280,2595
2014,Brantley County,05000US13025,36301,2594
2014,Jackson County,05000US12063,36310,2593
2014,Cass County,05000US48067,36342,2592
2014,Barbour County,05000US54001,36351,2591
2014,Luce County,05000US26095,36398,2590
2014,Houghton County,05000US26061,36443,2589
2014,Montmorency County,05000US26119,36448,2588
2014,Hardy County,05000US54031,36465,2587
2014,Jackson Parish,05000US22049,36466,2585
2014,Johnson County,05000US13167,36466,2585
2014,Washington County,05000US16087,36483,2584
2014,Randolph County,05000US05121,36487,2583
2014,Randolph County,05000US01111,36498,2582
2014,Hendry County,05000US12051,36504,2581
2014,Sabine Parish,05000US22085,36513,2580
